Time,Temperature,GRAWX,GRAWY,GRAWZ,GACCELX,GACCELY,GACCELZ
31782.75,-17.75362,1.633588,-0.7938932,-0.3053435,0.0275343,-9.993754,-0.3711145
31892.5,-17.81401,1.435115,-0.7633588,-0.5801527,0.09816577,-9.997346,-0.3328059
32095.38,-18.11594,1.068702,-0.8549618,-0.2290076,0.08739148,-10.04164,-0.3495659
32282.88,-17.8744,1.312977,-1.007634,-0.4732825,0.08020861,-9.997346,-0.3747059
32379.75,-17.8744,1.267176,-0.8244275,-0.6564885,0.1412629,-10.00812,-0.3771002
32579.63,-17.69324,1.022901,-0.961832,-0.3816794,0.03830859,-10.05601,-0.3471716
32707.38,-17.69324,0.9160305,-0.7633588,-0.3969466,0.06943433,-10.02249,-0.3830859
32908.25,-17.75362,1.251908,-0.7633588,-0.4732825,0.06704004,-9.99974,-0.3747059
33111.13,-18.17633,0.7328244,-0.4732825,-0.351145,0.08978577,-10.01171,-0.4034374
33285.75,-17.75362,1.022901,-0.6717557,-0.3206107,0.05387146,-10.03685,-0.4130145
33472.25,-17.75362,1.145038,-0.610687,-0.778626,0.07542004,-9.959037,-0.4142117
33565.13,-17.75362,1.40458,-0.9007633,-0.5496183,0.0742229,-10.03565,-0.3771002
33783.88,-17.69324,1.633588,-0.5801527,-0.5343512,0.03232288,-9.998543,-0.3711145
33880.75,-17.75362,1.099237,-0.870229,-0.4885496,0.04429431,-9.99974,-0.4273803
34080.63,-17.93478,0.6870229,-0.6259542,-0.4580153,0.1029543,-9.95784,-0.3136516
34207.38,-17.75362,0.961832,-0.8244275,-0.4580153,0.1137286,-10.02009,-0.3531573
34424.63,-17.81401,1.435115,-0.7328244,-0.3206107,0.08858863,-10.00573,-0.3148488
34597.25,-17.75362,1.496183,-0.778626,-0.5343512,0.05626575,-9.976995,-0.3435802
34693.63,-17.69324,1.19084,-0.8244275,-0.3816794,0.06225146,-10.03565,-0.408226
34908.88,-17.75362,1.312977,-0.5954198,-0.5648855,0.1376715,-10.01051,-0.3699174
35096.38,-17.93478,1.465649,-0.778626,-0.5954198,0.07781433,-9.979388,-0.3675231
35191.75,-17.63285,1.053435,-0.778626,-0.6412214,0.1316858,-9.973403,-0.3375945
35393.13,-17.51208,1.221374,-0.6412214,-0.5954198,0.05147717,-9.963826,-0.3794945
35518.38,-17.63285,1.480916,-0.6564885,-0.6259542,0.05866003,-10.01291,-0.3459745
35721.25,-17.75362,1.496183,-0.8244275,-0.7022901,0.06823719,-9.994951,-0.3064688
35909.25,-17.63285,0.961832,-0.8396947,-0.4885496,0.1077429,-10.03087,-0.3363973
36097.25,-17.75362,1.541985,-0.8549618,-0.4885496,0.09936292,-10.02488,-0.3471716
36192.13,-17.75362,1.435115,-0.778626,-0.5038168,0.004788574,-9.988966,-0.4154088
36409.38,-17.51208,1.160305,-0.778626,-0.3969466,0.03591431,-10.08833,-0.2885116
36503.75,-17.75362,1.480916,-0.7480916,-0.5038168,0.04190002,-9.981783,-0.3627345
36691.75,-17.75362,1.496183,-0.6259542,-0.4580153,0.1257001,-9.996149,-0.3926631
36895.13,-17.69324,1.541985,-0.8549618,-0.5038168,0.08140576,-10.05241,-0.3723117
37034.25,-17.75362,1.068702,-0.7175573,-0.519084,0.1101372,-9.931503,-0.4070288
37238.13,-17.75362,1.160305,-0.7328244,-0.4274809,0.02274573,-10.00453,-0.3675231
37316.63,-17.45169,1.083969,-0.8549618,-0.5343512,0.04429431,-10.0165,-0.2717516
37534.88,-17.75362,1.114504,-0.7480916,-0.4427481,0.06225146,-10.03326,-0.3040745
37628.75,-17.75362,1.114504,-0.6717557,-0.3816794,0.1125315,-9.981783,-0.3806916
37831.63,-17.75362,1.114504,-0.870229,-0.6564885,0.1280944,-10.01051,-0.3471716
37957.38,-17.75362,1.419847,-0.870229,-0.4427481,0.1125315,-10.02967,-0.3280173
38147.38,-17.69324,1.40458,-0.7938932,-0.4732825,0.07661719,-9.968615,-0.3340031
38348.25,-17.75362,1.251908,-0.9770992,-0.4885496,0.03591431,-9.98298,-0.3663259
38535.75,-17.81401,1.328244,-0.6870229,-0.5801527,0.07901148,-10.05361,-0.3711145
38629.13,-17.75362,1.068702,-0.7633588,-0.4732825,0.1556287,-9.990163,-0.2968916
38847.88,-17.63285,1.312977,-0.6412214,-0.3664122,0.07781433,-9.94108,-0.3794945
38943.75,-17.81401,1.587786,-0.778626,-0.3969466,0.1113344,-10.01291,-0.3890716
39129.25,-17.45169,1.114504,-0.7938932,-0.6412214,0.04429431,-9.978191,-0.3363973
39316.75,-17.75362,1.282443,-0.7633588,-0.4122137,0.08020861,-10.02129,-0.4142117
39519.63,-17.63285,1.847328,-0.7938932,-0.4580153,0.03471716,-10.01291,-0.3423831
39644.88,-17.51208,1.450382,-0.6870229,-0.519084,-0.04309717,-9.925517,-0.3363973
39847.75,-17.63285,0.9160305,-0.6412214,-0.5038168,0.01077429,-9.897983,-0.3818888
40035.75,-17.75362,1.099237,-0.7480916,-0.5801527,0.03112573,-10.02847,-0.3316088
40129.63,-17.81401,1.389313,-0.778626,-0.5496183,0.0742229,-10.0572,-0.4034374
40347.88,-17.69324,1.175573,-0.8549618,-0.610687,0.1197144,-9.994951,-0.2992859
40441.75,-17.69324,1.007634,-0.7022901,-0.3816794,0.07542004,-9.99136,-0.4058317
40644.63,-17.75362,1.480916,-0.6717557,-0.5496183,0.1508401,-10.02847,-0.3316088
40769.88,-17.33092,0.8396947,-0.778626,-0.5954198,0.004788574,-10.04164,-0.4190002
40972.25,-17.63285,0.8549618,-0.8396947,-0.3969466,0.1137286,-9.972206,-0.3830859
41163.25,-17.69324,1.312977,-0.8854962,-0.4122137,0.08380005,-9.988966,-0.2561887
41257.63,-17.69324,1.099237,-0.7938932,-0.5954198,0.08380005,-10.02009,-0.3316088
41473.88,-17.69324,1.419847,-0.8854962,-0.4122137,0.08858863,-10.03805,-0.3651288
41661.88,-17.69324,1.40458,-0.6564885,-0.519084,0.07302576,-9.988966,-0.4118174
41847.88,-17.51208,1.40458,-0.7175573,-0.3816794,0.0275343,-10.01889,-0.3423831
41943.25,-17.75362,0.8854962,-0.7328244,-0.6259542,0.1101372,-10.00333,-0.3651288
42144.63,-17.75362,1.282443,-0.778626,-0.5496183,-0.007182861,-10.04763,-0.3866774
42270.38,-17.69324,0.7633588,-0.8091603,-0.4122137,0.04070288,-9.998543,-0.3723117
42473.25,-17.75362,1.114504,-0.5496183,-0.5038168,0.07302576,-9.935095,-0.3627345
42676.13,-17.75362,1.526718,-0.8244275,-0.3816794,0.07182861,-9.969811,-0.3280173
42769.5,-17.33092,1.358779,-1.038168,-0.5648855,0.1257001,-10.02009,-0.3567488
42972.88,-17.63285,1.068702,-0.8091603,-0.5343512,0.06344861,-10.02847,-0.3399888
43067.25,-17.45169,1.038168,-1.022901,-0.5496183,0.07182861,-9.965023,-0.3328059
43270.13,-17.63285,1.435115,-0.778626,-0.6564885,0.1245029,-9.994951,-0.3699174
43395.38,-17.14976,1.236641,-0.7480916,-0.6412214,0.05866003,-9.993754,-0.3818888
43614.13,-17.81401,1.29771,-0.7175573,-0.4580153,0.08619434,-9.99974,-0.2717516
43786.25,-17.45169,1.114504,-0.610687,-0.3664122,0.09218005,-9.960235,-0.3280173
43974.25,-17.75362,1.083969,-1.022901,-0.4427481,0.07901148,-10.03326,-0.3651288
44067.63,-17.81401,1.312977,-0.6259542,-0.3816794,0.05626575,-10.06439,-0.399846
44286.38,-17.63285,0.8854962,-0.778626,-0.4274809,0.02274573,-10.04164,-0.3435802
44473.38,-17.75362,1.099237,-0.610687,-0.4580153,0.08739148,-10.00213,-0.3423831
44570.25,-17.81401,1.358779,-0.778626,-0.5496183,0.09577148,-10.00333,-0.3842831
44756.25,-17.45169,1.19084,-0.8244275,-0.3664122,0.04908289,-10.07875,-0.3747059
44943.25,-17.51208,1.282443,-0.9465649,-0.3053435,0.06464575,-10.00573,-0.4345631
45145.13,-17.45169,1.282443,-0.8244275,-0.4122137,0.09457434,-10.02249,-0.3866774
45301.63,-17.8744,1.19084,-0.6870229,-0.5343512,0.06943433,-9.947065,-0.3878745
45477.25,-17.63285,1.083969,-0.5954198,-0.4580153,0.1065458,-9.911152,-0.3160459
